Sim Number,Strategy,End Bankroll,Start Bankroll,Dice Rolls
62,hammerlock,251.0,200,60
62,knockout,40.0,200,60
62,pass2come,195.0,200,60
63,corey,77.0,200,62
63,coreynofield,87.0,200,62
63,hammerlock,228.0,200,62
63,knockout,65.0,200,62
63,pass2come,125.0,200,62
64,corey,272.0,200,111
64,coreynofield,192.0,200,111
64,hammerlock,173.0,200,111
64,knockout,210.0,200,111
64,pass2come,210.0,200,111
65,corey,191.0,200,96
65,coreynofield,196.0,200,96
65,hammerlock,236.0,200,96
65,knockout,175.0,200,96
65,pass2come,200.0,200,96
66,corey,129.0,200,59
66,coreynofield,144.0,200,59
66,hammerlock,206.0,200,59
66,knockout,80.0,200,59
66,pass2come,170.0,200,59
67,corey,206.0,200,89
67,coreynofield,211.0,200,89
67,hammerlock,102.0,200,89
67,knockout,285.0,200,89
67,pass2come,215.0,200,89
68,corey,308.0,200,105
68,coreynofield,273.0,200,105
68,hammerlock,149.0,200,105
68,knockout,295.0,200,105
68,pass2come,255.0,200,105
69,corey,109.0,200,73
69,coreynofield,174.0,200,73
69,hammerlock,171.0,200,73
69,knockout,130.0,200,73
69,pass2come,200.0,200,73
70,corey,137.0,200,75
70,coreynofield,152.0,200,75
70,hammerlock,163.0,200,75
70,knockout,150.0,200,75
70,pass2come,200.0,200,75
71,corey,172.0,200,53
71,coreynofield,172.0,200,53
71,hammerlock,181.0,200,53
71,knockout,115.0,200,53
71,pass2come,160.0,200,53
72,corey,128.0,200,59
72,coreynofield,168.0,200,59
72,hammerlock,163.0,200,59
72,knockout,130.0,200,59
72,pass2come,170.0,200,59
73,corey,171.0,200,89
73,coreynofield,176.0,200,89
73,hammerlock,244.0,200,89
73,knockout,110.0,200,89
73,pass2come,180.0,200,89
74,corey,199.0,200,85
74,coreynofield,224.0,200,85
74,hammerlock,206.0,200,85
74,knockout,195.0,200,85
74,pass2come,250.0,200,85
75,corey,268.0,200,85
75,coreynofield,223.0,200,85
75,hammerlock,13.0,200,85
75,knockout,260.0,200,85
75,pass2come,205.0,200,85
76,corey,49.0,200,92
76,coreynofield,89.0,200,92
76,hammerlock,441.0,200,92
76,knockout,65.0,200,92
76,pass2come,115.0,200,92
77,corey,286.0,200,107
77,coreynofield,206.0,200,107
77,hammerlock,160.0,200,107
77,knockout,270.0,200,107
77,pass2come,190.0,200,107
78,corey,231.0,200,98
78,coreynofield,221.0,200,98
78,hammerlock,110.0,200,98
78,knockout,315.0,200,98
78,pass2come,225.0,200,98
79,corey,232.0,200,118
79,coreynofield,272.0,200,118
79,hammerlock,159.0,200,118
79,knockout,380.0,200,118
79,pass2come,240.0,200,118
80,corey,258.0,200,123
80,coreynofield,253.0,200,123
80,hammerlock,15.0,200,123
80,knockout,430.0,200,123
80,pass2come,265.0,200,123
81,corey,163.0,200,78
81,coreynofield,203.0,200,78
81,hammerlock,197.0,200,78
81,knockout,160.0,200,78
81,pass2come,215.0,200,78
82,corey,109.0,200,69
82,coreynofield,149.0,200,69
82,hammerlock,236.0,200,69
82,knockout,120.0,200,69
82,pass2come,145.0,200,69
83,corey,186.0,200,105
83,coreynofield,176.0,200,105
83,hammerlock,214.0,200,105
83,knockout,270.0,200,105
83,pass2come,180.0,200,105
84,corey,269.0,200,114
84,coreynofield,264.0,200,114
84,hammerlock,70.0,200,114
84,knockout,425.0,200,114
84,pass2come,200.0,200,114
85,corey,151.0,200,92
85,coreynofield,146.0,200,92
85,hammerlock,285.0,200,92
85,knockout,145.0,200,92
85,pass2come,170.0,200,92
86,corey,243.0,200,69
86,coreynofield,238.0,200,69
86,hammerlock,103.0,200,69
86,knockout,225.0,200,69
86,pass2come,200.0,200,69
87,corey,209.0,200,81
87,coreynofield,159.0,200,81
87,hammerlock,139.0,200,81
87,knockout,180.0,200,81
87,pass2come,155.0,200,81
88,corey,333.0,200,107
88,coreynofield,228.0,200,107
88,hammerlock,67.0,200,107
88,knockout,305.0,200,107
88,pass2come,200.0,200,107
89,corey,189.0,200,107
89,coreynofield,279.0,200,107
89,hammerlock,249.0,200,107
89,knockout,345.0,200,107
89,pass2come,215.0,200,107
90,corey,151.0,200,84
90,coreynofield,176.0,200,84
90,hammerlock,147.0,200,84
90,knockout,190.0,200,84
90,pass2come,180.0,200,84
91,corey,215.0,200,115
91,coreynofield,300.0,200,115
91,hammerlock,201.0,200,115
91,knockout,315.0,200,115
91,pass2come,280.0,200,115
92,corey,159.0,200,79
92,coreynofield,179.0,200,79
92,hammerlock,232.0,200,79
92,knockout,135.0,200,79
92,pass2come,175.0,200,79
93,corey,161.0,200,97
93,coreynofield,191.0,200,97
93,hammerlock,182.0,200,97
93,knockout,300.0,200,97
93,pass2come,195.0,200,97
94,corey,200.0,200,101
94,coreynofield,230.0,200,101
94,hammerlock,193.0,200,101
94,knockout,270.0,200,101
94,pass2come,200.0,200,101
95,corey,85.0,200,34
95,coreynofield,105.0,200,34
95,hammerlock,203.0,200,34
95,knockout,20.0,200,34
95,pass2come,165.0,200,34
96,corey,237.0,200,97
96,coreynofield,252.0,200,97
96,hammerlock,72.0,200,97
96,knockout,375.0,200,97
96,pass2come,210.0,200,97
97,corey,188.0,200,72
97,coreynofield,223.0,200,72
97,hammerlock,228.0,200,72
97,knockout,140.0,200,72
97,pass2come,205.0,200,72
98,corey,183.0,200,125
98,coreynofield,203.0,200,125
98,hammerlock,229.0,200,125
98,knockout,275.0,200,125
98,pass2come,215.0,200,125
99,corey,202.0,200,96
99,coreynofield,207.0,200,96
99,hammerlock,11.0,200,96
99,knockout,340.0,200,96
99,pass2come,175.0,200,96
100,corey,129.0,200,80
100,coreynofield,159.0,200,80
100,hammerlock,176.0,200,80
100,knockout,140.0,200,80
100,pass2come,145.0,200,80
101,corey,242.0,200,101
101,coreynofield,242.0,200,101
101,hammerlock,267.0,200,101
101,knockout,260.0,200,101
101,pass2come,210.0,200,101
102,corey,181.0,200,104
102,coreynofield,186.0,200,104
102,hammerlock,370.0,200,104
102,knockout,210.0,200,104
102,pass2come,170.0,200,104
103,corey,134.0,200,101
103,coreynofield,134.0,200,101
103,hammerlock,205.0,200,101
103,knockout,205.0,200,101
103,pass2come,150.0,200,101
104,corey,121.0,200,79
104,coreynofield,156.0,200,79
104,hammerlock,294.0,200,79
104,knockout,95.0,200,79
104,pass2come,190.0,200,79
105,corey,124.0,200,64
105,coreynofield,179.0,200,64
105,hammerlock,237.0,200,64
105,knockout,125.0,200,64
105,pass2come,165.0,200,64
106,corey,173.0,200,98
106,coreynofield,208.0,200,98
106,hammerlock,243.0,200,98
106,knockout,165.0,200,98
106,pass2come,170.0,200,98
107,corey,230.0,200,75
107,coreynofield,235.0,200,75
107,hammerlock,272.0,200,75
107,knockout,130.0,200,75
107,pass2come,225.0,200,75
108,corey,156.0,200,69
108,coreynofield,201.0,200,69
108,hammerlock,248.0,200,69
108,knockout,170.0,200,69
108,pass2come,195.0,200,69
109,corey,161.0,200,84
109,coreynofield,156.0,200,84
109,hammerlock,196.0,200,84
109,knockout,165.0,200,84
109,pass2come,160.0,200,84
110,corey,237.0,200,114
110,coreynofield,212.0,200,114
110,hammerlock,222.0,200,114
110,knockout,275.0,200,114
110,pass2come,160.0,200,114
111,corey,209.0,200,78
111,coreynofield,239.0,200,78
111,hammerlock,35.0,200,78
111,knockout,270.0,200,78
111,pass2come,245.0,200,78
112,corey,275.0,200,81
112,coreynofield,280.0,200,81
112,hammerlock,213.0,200,81
112,knockout,240.0,200,81
112,pass2come,260.0,200,81
113,corey,79.0,200,69
113,coreynofield,154.0,200,69
113,hammerlock,300.0,200,69
113,knockout,120.0,200,69
113,pass2come,170.0,200,69
114,corey,225.0,200,90
114,coreynofield,155.0,200,90
114,hammerlock,257.0,200,90
114,knockout,175.0,200,90
114,pass2come,155.0,200,90
115,corey,261.0,200,90
115,coreynofield,266.0,200,90
115,hammerlock,112.0,200,90
115,knockout,195.0,200,90
115,pass2come,260.0,200,90
116,corey,189.0,200,103
116,coreynofield,244.0,200,103
116,hammerlock,173.0,200,103
116,knockout,260.0,200,103
116,pass2come,190.0,200,103
117,corey,196.0,200,94
117,coreynofield,251.0,200,94
117,hammerlock,110.0,200,94
117,knockout,225.0,200,94
117,pass2come,235.0,200,94
118,corey,193.0,200,62
118,coreynofield,203.0,200,62
118,hammerlock,142.0,200,62
118,knockout,180.0,200,62
118,pass2come,195.0,200,62
119,corey,231.0,200,76
119,coreynofield,241.0,200,76
119,hammerlock,68.0,200,76
119,knockout,280.0,200,76
119,pass2come,225.0,200,76
120,corey,170.0,200,65
120,coreynofield,215.0,200,65
120,hammerlock,240.0,200,65
120,knockout,145.0,200,65
120,pass2come,185.0,200,65
121,corey,65.0,200,56
121,coreynofield,75.0,200,56
121,hammerlock,383.0,200,56
121,knockout,10.0,200,56
121,pass2come,125.0,200,56
122,corey,172.0,200,57
122,coreynofield,157.0,200,57
122,hammerlock,261.0,200,57
122,knockout,40.0,200,57
122,pass2come,205.0,200,57
123,corey,133.0,200,91
123,coreynofield,203.0,200,91
123,hammerlock,338.0,200,91
123,knockout,125.0,200,91
123,pass2come,215.0,200,91
124,corey,251.0,200,101
124,coreynofield,251.0,200,101
124,hammerlock,197.0,200,101
124,knockout,230.0,200,101
124,pass2come,235.0,200,101
125,corey,177.0,200,106
125,coreynofield,132.0,200,106
125,hammerlock,351.0,200,106
125,knockout,120.0,200,106
125,pass2come,140.0,200,106
126,corey,215.0,200,89
126,coreynofield,240.0,200,89
126,hammerlock,149.0,200,89
126,knockout,295.0,200,89
126,pass2come,210.0,200,89
127,corey,350.0,200,111
127,coreynofield,290.0,200,111
127,hammerlock,90.0,200,111
127,knockout,345.0,200,111
127,pass2come,260.0,200,111
128,corey,211.0,200,80
128,coreynofield,201.0,200,80
128,hammerlock,113.0,200,80
128,knockout,155.0,200,80
128,pass2come,225.0,200,80
129,corey,269.0,200,99
129,coreynofield,319.0,200,99
129,hammerlock,116.0,200,99
129,knockout,335.0,200,99
129,pass2come,265.0,200,99
130,corey,164.0,200,72
130,coreynofield,194.0,200,72
130,hammerlock,153.0,200,72
130,knockout,215.0,200,72
130,pass2come,210.0,200,72
131,corey,97.0,200,72
131,coreynofield,137.0,200,72
131,hammerlock,175.0,200,72
131,knockout,135.0,200,72
131,pass2come,165.0,200,72
132,corey,267.0,200,108
132,coreynofield,282.0,200,108
132,hammerlock,179.0,200,108
132,knockout,255.0,200,108
132,pass2come,260.0,200,108
133,corey,192.0,200,63
133,coreynofield,202.0,200,63
133,hammerlock,96.0,200,63
133,knockout,185.0,200,63
133,pass2come,200.0,200,63
134,corey,157.0,200,69
134,coreynofield,152.0,200,69
134,hammerlock,186.0,200,69
134,knockout,120.0,200,69
134,pass2come,170.0,200,69
135,corey,118.0,200,85
135,coreynofield,203.0,200,85
135,hammerlock,287.0,200,85
135,knockout,215.0,200,85
135,pass2come,175.0,200,85
136,corey,151.0,200,83
136,coreynofield,181.0,200,83
136,hammerlock,190.0,200,83
136,knockout,190.0,200,83
136,pass2come,165.0,200,83
137,corey,211.0,200,77
137,coreynofield,241.0,200,77
137,hammerlock,225.0,200,77
137,knockout,225.0,200,77
137,pass2come,225.0,200,77
138,corey,196.0,200,67
138,coreynofield,176.0,200,67
138,hammerlock,211.0,200,67
138,knockout,75.0,200,67
138,pass2come,190.0,200,67
139,corey,82.0,200,80
139,coreynofield,97.0,200,80
139,hammerlock,303.0,200,80
139,knockout,115.0,200,80
139,pass2come,125.0,200,80
140,corey,154.0,200,85
140,coreynofield,159.0,200,85
140,hammerlock,164.0,200,85
140,knockout,200.0,200,85
140,pass2come,165.0,200,85
141,corey,92.0,200,82
141,coreynofield,142.0,200,82
141,hammerlock,122.0,200,82
141,knockout,155.0,200,82
141,pass2come,170.0,200,82
142,corey,308.0,200,131
142,coreynofield,348.0,200,131
142,hammerlock,11.0,200,131
142,knockout,430.0,200,131
142,pass2come,250.0,200,131
143,corey,170.0,200,87
143,coreynofield,230.0,200,87
143,hammerlock,158.0,200,87
143,knockout,250.0,200,87
143,pass2come,190.0,200,87
144,corey,233.0,200,142
144,coreynofield,308.0,200,142
144,hammerlock,120.0,200,142
144,knockout,440.0,200,142
144,pass2come,290.0,200,142
145,corey,91.0,200,70
145,coreynofield,121.0,200,70
145,hammerlock,279.0,200,70
145,knockout,135.0,200,70
145,pass2come,145.0,200,70
146,corey,209.0,200,80
146,coreynofield,219.0,200,80
146,hammerlock,105.0,200,80
146,knockout,215.0,200,80
146,pass2come,215.0,200,80
147,corey,207.0,200,122
147,coreynofield,217.0,200,122
147,hammerlock,140.0,200,122
147,knockout,320.0,200,122
147,pass2come,185.0,200,122
148,corey,124.0,200,76
148,coreynofield,199.0,200,76
148,hammerlock,216.0,200,76
148,knockout,145.0,200,76
148,pass2come,205.0,200,76
149,corey,50.0,200,58
149,coreynofield,55.0,200,58
149,hammerlock,281.0,200,58
149,knockout,15.0,200,58
149,pass2come,105.0,200,58
150,corey,174.0,200,79
150,coreynofield,154.0,200,79
150,hammerlock,314.0,200,79
150,knockout,90.0,200,79
150,pass2come,200.0,200,79
151,corey,148.0,200,87
151,coreynofield,173.0,200,87
151,hammerlock,268.0,200,87
151,knockout,125.0,200,87
151,pass2come,195.0,200,87
152,corey,166.0,200,89
152,coreynofield,201.0,200,89
152,hammerlock,201.0,200,89
152,knockout,210.0,200,89
152,pass2come,205.0,200,89
153,corey,125.0,200,47
153,coreynofield,145.0,200,47
153,hammerlock,273.0,200,47
153,knockout,15.0,200,47
153,pass2come,165.0,200,47
154,corey,185.0,200,86
154,coreynofield,160.0,200,86
154,hammerlock,288.0,200,86
154,knockout,140.0,200,86
154,pass2come,170.0,200,86
155,corey,260.0,200,139
155,coreynofield,295.0,200,139
155,hammerlock,137.0,200,139
155,knockout,390.0,200,139
155,pass2come,255.0,200,139
156,corey,161.0,200,92
156,coreynofield,226.0,200,92
156,hammerlock,224.0,200,92
156,knockout,180.0,200,92
156,pass2come,220.0,200,92
157,corey,197.0,200,83
157,coreynofield,182.0,200,83
157,hammerlock,15.0,200,83
157,knockout,305.0,200,83
157,pass2come,150.0,200,83
158,corey,209.0,200,94
158,coreynofield,244.0,200,94
158,hammerlock,233.0,200,94
158,knockout,160.0,200,94
158,pass2come,230.0,200,94
159,corey,144.0,200,104
159,coreynofield,169.0,200,104
159,hammerlock,115.0,200,104
159,knockout,240.0,200,104
159,pass2come,195.0,200,104
160,corey,87.0,200,67
160,coreynofield,107.0,200,67
160,hammerlock,258.0,200,67
160,knockout,70.0,200,67
160,pass2come,155.0,200,67
161,corey,91.0,200,65
161,coreynofield,131.0,200,65
161,hammerlock,238.0,200,65
161,knockout,175.0,200,65
161,pass2come,145.0,200,65
162,corey,261.0,200,60
162,coreynofield,256.0,200,60
162,hammerlock,170.0,200,60
162,knockout,155.0,200,60
162,pass2come,230.0,200,60
163,corey,232.0,200,91
163,coreynofield,262.0,200,91
163,hammerlock,13.0,200,91
163,knockout,405.0,200,91
163,pass2come,210.0,200,91
164,corey,211.0,200,81
164,coreynofield,181.0,200,81
164,hammerlock,126.0,200,81
164,knockout,175.0,200,81
164,pass2come,195.0,200,81
165,corey,182.0,200,66
165,coreynofield,142.0,200,66
165,hammerlock,283.0,200,66
165,knockout,70.0,200,66
165,pass2come,190.0,200,66
166,corey,65.0,200,79
166,coreynofield,135.0,200,79
166,hammerlock,348.0,200,79
166,knockout,35.0,200,79
166,pass2come,185.0,200,79
167,corey,159.0,200,86
167,coreynofield,214.0,200,86
167,hammerlock,275.0,200,86
167,knockout,130.0,200,86
167,pass2come,210.0,200,86
168,corey,124.0,200,95
168,coreynofield,159.0,200,95
168,hammerlock,309.0,200,95
168,knockout,180.0,200,95
168,pass2come,165.0,200,95
169,corey,261.0,200,108
169,coreynofield,226.0,200,108
169,hammerlock,152.0,200,108
169,knockout,285.0,200,108
169,pass2come,210.0,200,108
170,corey,347.0,200,132
170,coreynofield,287.0,200,132
170,hammerlock,230.0,200,132
170,knockout,355.0,200,132
170,pass2come,245.0,200,132
171,corey,141.0,200,70
171,coreynofield,161.0,200,70
171,hammerlock,108.0,200,70
171,knockout,170.0,200,70
171,pass2come,155.0,200,70
172,corey,129.0,200,71
172,coreynofield,144.0,200,71
172,hammerlock,335.0,200,71
172,knockout,110.0,200,71
172,pass2come,150.0,200,71
173,corey,210.0,200,103
173,coreynofield,210.0,200,103
173,hammerlock,178.0,200,103
173,knockout,290.0,200,103
173,pass2come,250.0,200,103
174,corey,116.0,200,76
174,coreynofield,126.0,200,76
174,hammerlock,271.0,200,76
174,knockout,180.0,200,76
174,pass2come,150.0,200,76
175,corey,139.0,200,80
175,coreynofield,189.0,200,80
175,hammerlock,176.0,200,80
175,knockout,165.0,200,80
175,pass2come,205.0,200,80
176,corey,149.0,200,58
176,coreynofield,184.0,200,58
176,hammerlock,169.0,200,58
176,knockout,120.0,200,58
176,pass2come,200.0,200,58
177,corey,252.0,200,116
177,coreynofield,287.0,200,116
177,hammerlock,168.0,200,116
177,knockout,390.0,200,116
177,pass2come,245.0,200,116
178,corey,184.0,200,89
178,coreynofield,159.0,200,89
178,hammerlock,247.0,200,89
178,knockout,170.0,200,89
178,pass2come,185.0,200,89
179,corey,157.0,200,86
179,coreynofield,112.0,200,86
179,hammerlock,179.0,200,86
179,knockout,175.0,200,86
179,pass2come,140.0,200,86
180,corey,77.0,200,84
180,coreynofield,137.0,200,84
180,hammerlock,207.0,200,84
180,knockout,185.0,200,84
180,pass2come,185.0,200,84
181,corey,351.0,200,152
181,coreynofield,281.0,200,152
181,hammerlock,10.0,200,152
181,knockout,385.0,200,152
181,pass2come,245.0,200,152
182,corey,131.0,200,80
182,coreynofield,206.0,200,80
182,hammerlock,178.0,200,80
182,knockout,205.0,200,80
182,pass2come,200.0,200,80
183,corey,234.0,200,92
183,coreynofield,274.0,200,92
183,hammerlock,142.0,200,92
183,knockout,270.0,200,92
183,pass2come,250.0,200,92
184,corey,208.0,200,100
184,coreynofield,263.0,200,100
184,hammerlock,118.0,200,100
184,knockout,345.0,200,100
184,pass2come,205.0,200,100
185,corey,132.0,200,64
185,coreynofield,167.0,200,64
185,hammerlock,235.0,200,64
185,knockout,120.0,200,64
185,pass2come,185.0,200,64
186,corey,244.0,200,116
186,coreynofield,289.0,200,116
186,hammerlock,205.0,200,116
186,knockout,390.0,200,116
186,pass2come,235.0,200,116
187,corey,237.0,200,92
187,coreynofield,252.0,200,92
187,hammerlock,204.0,200,92
187,knockout,240.0,200,92
187,pass2come,210.0,200,92
188,corey,100.0,200,59
